Unnamed: 0,User ID,Venue ID,Venue category ID,Venue category name,Latitude,Longitude,Timezone,UTC time
4,87,Taïm Mobile Falafel & Smoothie Truck,4bf58dd8d48988d1cb941735,Food Truck,40.74010382743943,-73.98965835571289,-240,Tue Apr 03 18:03:00 +0000 2012
5,484,Compare Foods Supermarket,4bf58dd8d48988d118951735,Food & Drink Shop,40.69042711809854,-73.95468677509598,-240,Tue Apr 03 18:04:00 +0000 2012
10,87,The Guilty Goose,4bf58dd8d48988d155941735,Gastropub,40.74348254,-73.994009,-240,Tue Apr 03 18:07:15 +0000 2012
16,445,C-Town Supermarket,4bf58dd8d48988d118951735,Food & Drink Shop,40.82678953781387,-73.94950923509141,-240,Tue Apr 03 18:10:39 +0000 2012
17,135,Dishes,4bf58dd8d48988d1c4941735,Restaurant,40.75527487548953,-73.97880613803864,-240,Tue Apr 03 18:11:04 +0000 2012
19,704,The Culinary Conference Center,4bf58dd8d48988d14e941735,American Restaurant,40.73067679262482,-74.06567180055883,-240,Tue Apr 03 18:11:35 +0000 2012
28,689,Eataly Flatiron,4bf58dd8d48988d118951735,Food & Drink Shop,40.74186151409088,-73.98943362953369,-240,Tue Apr 03 18:15:05 +0000 2012
30,32,Maui Tacos,4bf58dd8d48988d1c1941735,Mexican Restaurant,40.74773816943053,-73.98519814526952,-240,Tue Apr 03 18:15:33 +0000 2012
31,230,Webster Hall,4bf58dd8d48988d1e5931735,Music Venue,40.73169799836348,-73.98922693741638,-240,Tue Apr 03 18:16:09 +0000 2012
34,962,Madison Square Park,4bf58dd8d48988d163941735,Park,40.74218830848454,-73.98792418909154,-240,Tue Apr 03 18:17:17 +0000 2012
38,962,Shake Shack,4bf58dd8d48988d16c941735,Burger Joint,40.74140750304299,-73.98843795061111,-240,Tue Apr 03 18:19:21 +0000 2012
43,398,Gigi's Pizzeria & Restaurant,4bf58dd8d48988d1ca941735,Pizza Place,40.77615805031661,-73.82361593360073,-240,Tue Apr 03 18:23:40 +0000 2012
